date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Narsingdi,Sunamganj,Cox's Bazar,Jaipurhat,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-23,1,4,2,0,0,2,0,7,1,2,0,2,311,1,0,5,0,11,0,0,46,1,0,0,1,0,2,0,2,0,1,0,5,0,0,3,0,0,0,1,1,0,0,0,0,2,2,1,0,0,1,0,0,2,0,0,0,0,0,4,0,0,2,0,0
2020-04-24,2,4,10,0,3,1,0,3,0,0,1,0,408,3,1,0,0,11,2,0,51,1,1,1,1,2,3,1,2,0,3,1,3,0,0,2,0,3,0,2,2,1,1,0,0,1,3,1,1,1,4,0,5,1,0,3,0,3,0,5,4,0,0,0,0
2020-04-25,0,0,4,1,3,0,0,0,0,1,1,0,261,0,0,1,0,3,1,0,31,0,0,0,0,2,3,0,2,2,2,0,9,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,2,0,2,1,0,0,0,0
2020-04-26,1,0,5,0,6,2,1,2,0,0,0,0,261,0,0,0,0,5,1,1,36,0,0,4,0,0,1,1,0,0,0,1,4,6,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,4,2,3,4,0,1,0,1,0,2,3,0,1,0,0
2020-04-27,0,2,4,0,0,1,1,0,0,1,1,2,226,3,2,0,0,2,0,1,29,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,1,3,1,1,1,2,0
2020-04-28,4,1,0,0,0,0,0,0,0,0,1,1,195,0,0,2,0,1,0,0,37,1,0,1,2,1,0,0,0,0,2,0,2,0,0,0,1,0,0,1,1,0,0,0,0,3,1,2,2,1,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0
2020-04-29,0,0,7,0,1,2,0,0,2,0,0,2,184,0,0,2,0,4,0,0,29,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,1,0,1,0,1
2020-04-30,0,0,3,1,0,0,0,1,1,0,0,0,209,1,1,0,0,5,1,0,36,0,1,0,1,2,0,0,0,0,1,0,6,0,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,2,1,0,0,1
2020-05-01,0,0,2,0,0,0,0,0,0,0,0,0,178,1,0,5,0,1,0,0,41,0,0,0,0,2,0,1,0,0,3,0,1,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,4,0,0
2020-05-02,1,0,5,0,0,1,0,0,0,0,0,1,448,1,0,0,0,9,0,0,47,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,1,3,1,0,1,0,0
2020-05-03,0,1,2,0,2,0,0,0,1,0,1,0,222,0,0,2,0,0,0,0,25,0,1,0,2,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-04,0,0,6,0,3,1,1,0,1,0,1,1,165,0,1,0,0,3,1,1,27,1,1,0,0,3,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,4,1,0,2,0,0
2020-05-05,0,1,4,0,1,1,0,4,0,0,0,0,154,1,2,0,0,2,0,0,36,0,0,0,1,1,0,0,1,0,2,0,0,0,0,2,1,2,0,1,0,0,0,2,0,0,1,2,0,0,1,1,4,1,0,1,0,0,0,2,1,1,2,1,0
2020-05-06,2,0,9,0,0,2,0,2,0,0,1,0,155,0,0,2,0,2,0,1,20,0,1,0,3,1,2,0,0,0,1,1,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,5,1,5,0,0
