date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Cox's Bazar,Narsingdi,Jaipurhat,Rangpur,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-07,0,0,6,0,2,0,0,2,2,0,1,0,233,0,0,1,0,0,6,0,0,59,1,2,0,0,1,2,5,0,3,0,0,5,2,0,0,2,0,0,0,0,2,0,0,1,0,1,0,2,2,0,2,0,1,0,0,0,0,2,7,2,0,4,0,0
2020-05-08,1,0,6,0,1,0,0,2,0,0,0,2,171,0,0,1,1,0,2,0,2,58,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0
2020-05-09,1,0,4,0,3,1,0,0,0,0,1,2,138,0,0,1,0,0,3,0,0,53,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0
2020-05-10,0,0,6,0,0,1,0,1,0,0,0,0,141,0,0,1,1,0,9,0,0,40,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,1,0,0
2020-05-11,0,0,5,1,0,4,0,1,1,0,0,0,146,0,0,0,1,0,14,1,0,51,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,2,0,0
2020-05-12,4,0,8,0,1,2,0,1,1,0,0,0,162,0,0,2,3,0,13,1,1,65,0,0,0,0,0,1,0,0,0,1,0,5,0,1,0,1,4,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0,4,0,0,0,0,1,0,1,1,0,0,2
2020-05-13,0,0,10,0,2,0,0,1,0,0,0,0,151,0,0,3,3,1,2,0,0,60,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,2,0,1,1,1,1,0,0,0,0,0,3,0,1,3,0,0
2020-05-14,1,0,7,1,1,1,0,0,0,0,0,0,199,0,0,1,1,0,5,0,2,62,0,0,0,0,1,1,2,0,2,0,0,3,1,0,0,2,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0
2020-05-15,1,2,11,0,0,0,0,0,0,0,2,0,173,0,0,1,0,0,5,0,2,71,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,1,1,0,0,0,0,0,1,3,0,3,0,0,0,1,0,2,0,0,1,0,0,3,0,1,0,0,0
2020-05-16,1,0,23,0,0,1,0,0,1,0,0,0,263,0,0,2,1,0,9,1,0,77,0,0,0,0,3,2,1,0,0,0,0,0,0,0,1,1,5,1,6,0,3,1,0,0,0,1,0,1,2,1,6,0,1,0,0,0,1,1,4,0,1,2,0,0
2020-05-17,0,0,13,0,1,1,0,1,2,0,1,0,206,0,0,4,0,0,2,0,1,53,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,5,3,1,0,0,0
2020-05-18,0,0,7,0,0,1,0,1,0,0,0,1,169,0,0,1,0,0,6,0,0,64,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,5,0,3,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,1,0,0,2,0
2020-05-19,1,0,14,0,2,1,0,0,0,0,0,0,145,0,0,0,0,0,5,1,1,57,0,0,0,0,1,1,2,0,5,0,0,5,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,7,0,0,1,0,0
2020-05-20,0,0,15,1,0,0,0,0,0,0,0,0,205,0,0,1,1,0,4,0,0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0
2020-05-21,0,0,19,0,0,2,0,1,0,0,0,1,320,0,0,1,2,0,13,0,1,99,0,0,0,2,2,1,0,0,0,0,1,11,1,0,0,1,2,0,1,1,3,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,13,0,0,2,0,1
2020-05-22,1,0,7,0,0,0,0,2,0,1,0,0,251,0,0,0,1,0,6,0,5,81,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,3,0,0,2,1,0,0,0,0,0,1,1,0,3,2,1,1,0,1,0,0,2,8,1,0,2,1,0
2020-05-23,0,0,15,0,1,6,0,0,0,0,3,2,288,0,0,0,1,0,8,0,0,114,0,0,0,0,0,1,4,1,0,1,1,3,0,0,0,2,4,0,0,0,3,0,0,0,2,0,0,1,0,0,4,0,1,0,0,3,0,1,6,0,0,0,0,0
2020-05-24,0,0,17,0,0,0,0,0,0,0,1,1,230,1,0,0,1,1,9,0,2,73,0,0,1,0,0,1,1,0,2,1,2,1,0,0,0,0,6,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,3,0,0,1,0,0,0,1,0,1,0,0
2020-05-25,0,0,13,0,0,2,0,0,0,0,1,0,281,0,0,0,1,0,2,0,2,63,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,1,0,2,1,0
2020-05-26,1,0,6,0,0,1,0,4,0,0,0,0,317,0,0,1,2,0,6,0,1,99,1,0,3,3,1,2,1,0,1,0,0,8,0,0,2,2,4,0,0,0,4,0,0,0,0,2,0,2,1,0,8,1,1,0,0,0,0,0,5,0,0,2,0,0
2020-05-27,1,1,21,0,1,1,0,0,2,0,0,0,373,0,0,0,1,0,7,0,0,70,0,1,0,0,0,4,2,0,1,4,1,2,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,3,0,0,0,0,0,4,2,0,1,0,0
2020-05-28,0,0,17,0,1,0,0,2,0,0,2,0,397,0,0,0,8,0,6,0,1,92,1,0,0,0,0,3,5,0,1,0,0,4,0,0,2,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,4,2,1,0,0,0
2020-05-29,0,1,13,0,1,1,0,1,1,2,0,0,396,1,0,3,0,0,7,0,0,111,0,1,0,0,1,0,3,0,0,0,0,4,0,0,0,1,4,1,2,0,5,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,7,0,0,1,0,0
2020-05-30,1,0,9,0,0,0,0,2,0,0,0,1,430,0,0,0,0,0,13,0,0,105,2,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,3,1,0,3,4,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,12,0,0,2,0,1
2020-05-31,1,0,7,0,0,3,1,0,0,0,0,0,399,0,0,0,0,0,13,1,0,102,0,0,0,4,3,3,1,0,0,0,0,1,0,2,0,0,4,0,3,0,2,0,0,0,0,1,0,0,0,1,5,0,1,0,1,0,0,0,2,1,0,0,0,0
2020-06-01,1,0,6,0,1,6,0,5,1,0,1,1,377,0,0,0,2,0,14,1,1,112,2,0,0,1,6,0,0,0,0,0,0,6,0,0,1,0,7,0,1,2,3,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0,0,0,4,0,1,3,0,3
2020-06-02,0,0,16,1,1,1,0,1,3,0,0,0,397,0,0,1,1,0,11,1,0,73,0,0,1,3,1,3,0,0,0,0,0,7,0,0,3,1,5,0,1,1,1,0,1,0,1,1,0,0,0,0,3,0,1,0,1,1,1,0,7,1,1,2,0,0
2020-06-03,0,2,16,0,0,3,1,3,2,0,1,0,371,0,0,0,0,0,4,0,1,96,0,4,0,0,0,1,1,1,1,0,0,7,0,0,2,7,3,0,1,1,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,8,1,1,3,0,2
2020-06-04,5,5,61,0,2,8,1,12,3,3,5,0,851,2,0,8,14,1,19,2,5,211,4,1,0,8,4,8,10,0,13,2,1,29,0,0,1,7,18,1,2,2,8,0,0,2,2,2,1,5,2,11,2,1,3,0,5,3,1,4,13,10,4,11,1,3
2020-06-05,17,2,175,0,7,30,2,25,9,3,4,5,1888,6,0,22,36,7,60,4,11,470,10,1,11,14,13,25,18,3,9,6,6,65,2,1,4,10,28,3,15,14,7,7,1,1,2,13,4,5,5,13,21,4,11,2,4,3,4,6,26,8,17,18,1,4
2020-06-06,7,5,93,0,7,14,0,15,4,1,6,3,1411,2,0,16,19,1,48,5,5,273,2,6,3,1,27,25,12,1,10,6,5,33,0,3,2,3,19,1,5,9,7,2,6,3,7,11,1,2,4,8,21,5,5,2,4,2,4,12,25,4,3,14,1,5
2020-06-07,14,1,77,2,7,13,4,15,2,2,2,2,1459,3,0,18,25,0,55,3,5,342,2,3,4,10,14,31,16,2,6,0,6,36,3,2,2,9,20,0,11,8,13,1,1,3,0,7,0,1,2,9,14,3,8,6,2,1,1,11,25,8,3,19,4,10
2020-06-08,17,3,59,5,5,21,4,12,4,5,7,8,1081,3,0,22,15,3,30,1,3,198,0,1,3,6,20,12,3,1,4,3,1,37,0,1,9,9,14,1,11,5,19,4,2,3,0,1,5,2,1,12,8,3,9,2,4,6,2,10,22,2,4,8,1,2
2020-06-09,3,3,55,1,4,21,0,12,1,1,2,5,869,0,0,6,14,1,24,3,1,178,1,3,3,0,4,8,2,1,7,6,3,22,1,0,4,2,11,4,2,7,9,0,1,0,2,5,0,0,3,12,5,3,19,1,0,2,1,3,24,5,2,11,1,4
2020-06-10,5,1,56,1,3,8,1,15,0,3,2,1,704,0,0,14,10,0,17,4,2,135,2,0,3,1,4,7,4,1,6,0,4,12,0,0,2,3,4,1,5,5,6,0,2,2,2,6,4,0,1,5,7,0,6,0,0,4,1,5,12,4,7,8,2,2
2020-06-11,4,4,46,4,4,6,0,4,1,3,1,1,608,0,0,12,9,3,18,2,3,101,1,0,3,3,2,5,3,1,3,2,1,22,0,1,2,2,10,2,3,2,4,0,0,1,0,3,0,2,2,4,10,3,2,1,0,2,0,1,10,5,1,9,0,1
2020-06-12,2,1,44,0,3,3,1,6,2,1,1,0,604,0,0,2,8,1,15,3,5,98,1,1,1,4,4,3,5,0,2,2,3,9,1,0,5,1,8,0,3,5,3,0,4,0,1,0,0,0,0,4,6,3,5,0,0,3,0,2,6,5,4,5,3,2
2020-06-13,11,2,24,0,3,5,3,5,1,1,3,4,497,0,0,8,10,0,9,3,5,97,0,0,3,0,10,5,3,0,1,0,3,7,5,1,4,0,9,0,3,6,4,0,5,1,3,1,1,1,2,1,10,0,1,2,0,0,1,3,6,4,1,6,1,2
2020-06-14,5,0,20,3,0,6,0,5,0,0,1,3,515,0,0,5,3,0,21,0,0,96,1,0,7,2,3,10,2,0,3,1,0,26,1,1,1,3,12,1,6,1,2,4,2,0,1,0,3,1,2,2,8,3,7,1,1,1,1,2,7,9,1,11,1,1
2020-06-15,6,0,24,2,0,8,0,4,2,1,2,1,583,0,0,4,10,0,9,4,1,100,2,1,2,3,4,4,3,0,2,2,0,17,0,2,1,4,3,1,2,2,2,0,0,0,3,10,2,1,0,0,6,2,4,4,0,1,0,2,5,6,0,11,0,0
2020-06-16,4,1,17,2,0,10,0,6,4,0,2,6,470,0,0,6,5,1,13,1,1,100,2,0,3,1,11,4,1,0,6,0,1,6,0,0,3,1,10,0,4,11,4,0,3,0,1,5,1,0,0,2,5,1,3,0,1,1,1,3,5,4,2,9,0,8
2020-06-17,2,2,12,1,6,7,0,9,0,0,0,1,479,0,0,8,0,0,9,1,0,87,2,1,2,2,7,3,2,1,3,1,3,11,1,2,6,2,13,1,5,1,6,0,1,0,0,3,2,0,3,2,6,3,2,0,2,0,0,5,6,4,1,4,0,4
2020-06-18,8,7,70,1,7,12,0,9,10,2,2,8,1256,5,0,18,18,5,46,4,8,321,6,5,8,7,16,16,4,1,9,6,6,18,4,2,3,8,23,4,16,6,9,3,2,4,3,3,4,3,4,21,8,8,9,0,1,5,0,8,20,22,2,11,0,8
2020-06-19,2,2,30,1,2,3,1,10,0,2,1,2,776,0,0,10,8,0,16,0,0,157,2,1,4,4,11,3,2,1,5,0,1,15,3,0,5,4,11,0,4,1,4,0,2,0,1,4,2,1,0,6,7,0,3,2,0,4,4,4,7,9,2,11,1,2
2020-06-20,4,5,20,4,3,3,0,4,1,3,4,3,667,1,0,10,8,0,12,0,4,129,1,1,5,0,14,4,6,0,2,2,4,9,1,1,3,4,5,0,9,1,2,0,1,0,3,0,2,2,1,9,11,3,5,0,3,2,1,2,7,6,5,6,1,4
2020-06-21,2,2,13,2,0,1,0,9,1,0,2,1,514,1,0,7,5,2,15,2,1,82,3,0,0,1,8,2,0,1,4,2,1,5,3,1,2,2,7,0,6,3,7,0,0,1,0,1,0,2,0,5,1,2,3,1,0,0,0,0,2,13,2,8,2,3
2020-06-22,10,1,23,0,1,0,1,8,2,2,1,2,550,2,0,4,10,4,4,1,2,108,6,9,0,1,4,1,2,0,3,0,0,10,2,1,0,2,1,0,4,2,6,1,2,0,3,5,4,0,5,9,3,3,5,0,2,2,0,2,5,2,0,2,1,2
2020-06-23,6,0,15,0,4,6,2,3,1,0,1,1,455,2,0,1,8,3,13,0,3,78,2,0,0,1,3,0,2,0,1,1,0,14,0,2,0,4,9,0,1,1,1,0,1,0,2,2,0,1,2,4,5,3,5,2,1,2,6,1,8,9,7,6,1,1
2020-06-24,2,0,19,2,3,3,0,6,0,0,2,2,454,1,0,4,2,0,7,0,1,77,1,2,0,0,11,4,0,0,6,2,1,17,0,1,2,2,9,1,3,2,6,0,3,0,2,4,0,2,0,6,5,2,4,0,0,1,1,0,5,10,1,3,0,1
2020-06-25,2,0,17,1,3,6,0,8,0,1,2,0,414,0,0,7,2,1,8,0,1,83,0,0,1,3,3,1,2,1,1,2,1,7,1,0,0,0,1,1,4,1,8,0,1,1,5,0,1,2,1,0,2,2,2,0,0,1,1,0,4,4,1,4,2,1
2020-06-26,3,4,27,1,0,4,1,3,0,0,2,0,407,0,0,2,10,0,4,3,4,59,2,1,1,1,3,0,1,0,1,0,0,6,0,1,2,2,2,0,7,1,3,0,1,0,0,4,0,1,2,7,2,0,0,0,0,3,0,6,2,6,3,4,2,1
2020-06-27,4,4,12,0,4,2,0,6,0,3,2,2,351,1,0,3,4,2,6,0,1,59,1,1,0,0,2,3,0,0,1,0,1,5,0,1,3,3,1,0,5,1,6,0,0,0,1,3,1,0,3,4,2,0,1,0,0,0,0,0,3,4,2,6,1,2
2020-06-28,5,3,9,0,1,3,0,2,1,1,0,2,312,1,0,0,3,1,4,0,1,80,1,1,0,2,2,1,4,1,3,0,1,3,0,0,1,4,3,1,6,2,2,0,1,1,0,3,0,0,5,2,1,3,2,2,1,0,0,8,3,3,3,4,1,0
2020-06-29,10,4,9,0,2,3,0,2,0,1,3,1,334,2,0,3,4,0,7,1,1,50,0,1,1,0,0,0,1,0,3,1,0,6,1,0,1,3,5,2,6,2,4,0,1,0,0,1,0,1,3,2,1,3,1,0,1,1,0,0,7,4,2,2,0,1
