date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Cox's Bazar,Narsingdi,Rangpur,Jaipurhat,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-23,0,3,8,0,1,0,1,2,0,0,1,1,338,0,0,0,0,13,0,0,50,0,0,0,0,6,1,2,1,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,1,1,2,6,0,0,4,1,0,2,0,0,0,1,0,2,1,0,1,0,0
2020-04-24,0,1,8,1,2,3,0,2,0,0,0,2,352,2,2,0,0,10,2,3,43,3,1,5,0,3,3,2,1,0,1,1,2,0,0,0,0,6,4,0,0,3,3,0,0,4,4,0,0,1,1,2,6,6,1,0,0,2,0,5,3,1,3,0,0
2020-04-25,0,0,3,0,4,2,1,0,0,0,1,0,214,0,1,0,0,3,1,1,30,0,0,0,0,3,1,1,2,1,0,0,1,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,2,1,0,2,0,0
2020-04-26,2,0,1,0,4,1,0,2,0,1,0,0,237,0,3,0,0,1,0,2,28,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,4,0,0,0,0,1,1,3,0,2,0,0
2020-04-27,0,0,3,0,1,0,1,0,1,1,1,2,210,0,1,0,0,3,0,0,57,1,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,1,0,1,0,3,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0
2020-04-28,0,0,3,0,0,3,0,0,1,1,1,1,182,0,0,1,0,2,1,1,45,1,0,0,0,6,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0
2020-04-29,0,0,6,0,0,4,0,0,0,0,0,0,188,0,1,2,1,5,0,3,33,0,1,0,1,5,1,2,1,0,0,0,1,0,0,0,1,1,0,1,0,2,1,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,2,2,0,0,2,0
2020-04-30,1,0,4,1,1,2,0,0,5,0,0,0,215,0,1,0,0,5,1,0,23,0,1,0,0,2,0,0,1,0,0,0,6,0,0,1,1,1,0,2,0,1,1,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-01,0,0,4,0,0,1,0,2,0,1,2,0,199,1,0,3,0,5,0,1,38,0,1,0,1,0,0,4,2,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,1,0,2
2020-05-02,2,0,4,0,1,1,0,0,0,0,0,3,417,0,1,0,1,6,0,0,48,0,0,0,1,3,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
