date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Rangpur,Sunamganj,Naogaon,Narsingdi,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Pabna Police line,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-22,2,0,5,0,1,2,0,0,0,0,0,0,250,0,0,0,0,1,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,6,0,1
2020-04-23,0,0,4,0,0,0,0,0,0,0,0,1,167,0,1,1,0,2,0,1,28,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0
2020-04-24,0,0,2,0,1,4,0,0,0,0,0,0,197,2,1,1,0,4,0,0,24,0,0,0,0,0,4,1,0,0,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1
2020-04-25,0,0,2,0,1,0,1,0,0,0,0,0,128,0,0,0,0,1,1,0,15,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-26,1,0,2,0,0,0,0,2,0,1,0,0,162,0,0,2,0,5,0,0,23,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0
2020-04-27,0,2,1,0,1,0,0,0,0,0,0,0,129,0,2,0,0,0,0,0,35,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
2020-04-28,0,0,7,0,0,0,0,0,0,2,0,0,72,0,0,0,0,0,0,0,17,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,0,0,1,0,1,0,0,1,0,0,0,1,94,1,0,1,0,0,0,0,25,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0
2020-04-30,0,0,4,0,0,1,0,0,0,0,0,0,130,0,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1,1,0,5,0,0,34,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-02,0,0,1,0,0,0,0,0,0,0,0,0,434,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-05-03,0,0,2,0,1,1,0,0,0,0,1,0,177,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,3,0,1,0,0,0,0,0,0,0,100,0,0,2,0,2,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,2,0,3,0,0,0,0,102,0,0,1,0,2,0,0,19,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0
2020-05-06,1,0,3,0,1,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,33,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
