date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Shariatpur,Kurigram,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-25,0,0,4,0,0,0,0,0,0,0,0,3,99,0,0,0,0,2,0,0,29,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,2,4,0,0,0,0
2020-05-26,0,0,3,0,0,0,0,0,0,0,0,1,156,0,1,0,0,1,0,0,34,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,5,0,0,1,0,0
2020-05-27,2,0,8,0,0,1,0,1,1,0,0,0,152,0,0,1,0,6,0,1,42,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,2,0,3,0,0,0,0,0,2,1,0,1,0,0
2020-05-28,1,0,7,0,0,1,0,0,0,0,0,0,156,0,1,0,0,5,0,0,35,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,5,3,0,1,0,0
2020-05-29,0,1,9,0,0,0,0,1,0,0,0,1,168,0,2,0,0,2,0,0,50,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3,1,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
2020-05-30,2,0,4,0,0,0,0,0,0,0,0,0,173,0,0,0,0,3,0,2,43,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,3,0,0,1,1,0,0,1,0,1,1,3,0,1,0,1,0,0,1,0,0,0,3,1,0,2,0,0
2020-05-31,0,1,5,0,0,1,0,0,0,0,0,0,189,0,0,0,0,6,1,2,47,2,0,2,0,2,2,0,1,0,0,0,2,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,1,0,0,0
2020-06-01,2,0,2,0,1,1,0,1,0,0,0,1,175,0,0,0,0,9,0,0,62,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,0,2,7,1,1,0,0,3
2020-06-02,1,0,13,1,0,1,0,2,0,0,0,0,178,0,1,1,0,5,0,0,46,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,1
2020-06-03,0,0,14,0,0,0,0,1,0,0,0,0,184,0,1,0,0,3,0,0,47,0,1,0,0,2,1,1,3,1,0,0,2,0,0,2,2,2,0,0,1,1,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,2,3,1,0,2,0,4
2020-06-04,1,8,28,2,1,5,0,4,1,1,0,0,397,1,1,3,5,10,0,3,115,2,0,0,1,1,7,4,0,1,0,0,14,0,0,1,1,4,1,2,2,4,0,1,1,0,1,0,1,7,1,1,1,2,0,3,1,3,3,7,4,1,3,0,0
2020-06-05,7,2,74,1,3,12,0,8,5,0,2,3,799,2,9,9,4,11,0,2,200,0,1,0,1,6,7,5,7,10,4,0,27,0,1,1,1,19,3,5,3,8,2,2,4,8,6,3,3,7,1,10,2,6,1,1,0,1,2,16,5,0,10,0,2
