date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Sunamganj,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Sherpur,Pabna,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-14,0,0,3,0,0,1,0,0,0,0,1,0,148,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1
2020-04-15,0,0,1,0,0,0,0,0,0,0,0,0,134,0,0,1,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0
2020-04-16,2,0,0,0,0,0,0,3,0,0,0,1,82,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-04-17,0,0,3,0,0,0,0,1,0,0,0,1,105,0,0,0,0,4,0,0,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2,5,1,0,1,0,0,0,0,0,6,1,0,1,0,0
2020-04-18,0,0,1,0,2,0,0,1,0,0,0,0,98,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0
2020-04-19,0,1,1,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,2,1,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-20,0,1,3,0,1,0,0,0,0,0,0,0,153,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0
2020-04-21,1,0,0,0,0,0,0,2,0,0,0,0,163,0,2,0,0,0,0,2,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,2,1,0,1,0,0
2020-04-22,0,0,3,0,0,0,0,2,0,0,0,0,151,0,2,0,0,3,1,2,22,0,5,1,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0
2020-04-23,0,0,0,0,0,0,0,0,0,0,0,0,137,7,0,1,0,3,0,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
