date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Sylhet,Tangail,Chuadanga,Bagerhat,Feni,Magura,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Narail,Natore,Chandpur,Patuakhali,Rajbari,Jaipurhat,Gazipur,Jamalpur,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Faridpur,Dinajpur,Satkhira,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Gaibandha,Bhola,Barisal,Jessore,Lalmonirhat,Panchagarh
2020-04-23,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,7,1,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,0,139,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,2,0,1,0,0,1,0,0,0,2,2,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,151,1,16,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0
2020-04-25,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
2020-04-26,3,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,129,0,19,0,0,0,0,0,0,0,1,3,0,0,1,1,0,1,0,0
2020-04-27,1,0,2,0,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,99,0,31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2020-04-28,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,80,0,19,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0
2020-04-29,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,3,0,87,0,22,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
2020-04-30,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,94,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-01,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,0,0,1,0,1,88,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,148,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,90,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,91,1,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-05-05,0,0,0,1,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,0,14,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2020-05-06,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,57,0,27,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
