date,Comilla,Sunamganj,Unknown,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Magura,Maulvibazar,Tangail,Bagerhat,Chuadanga,Feni,Sylhet,Munshiganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Khagrachhari,Lakshmipur,Noakhali,Narail,Natore,Chandpur,Patuakhali,Jamalpur,Rajbari,Gazipur,Jaipurhat,Sherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-04-22,3,0,475,0,5,4,1,2,0,8,0,0,0,3,0,1,0,2,0,0,5,1,2,0,0,1,1,1,0,0,6,8,1,8,2,2,2,1,1,1,4,4,0,4,0,0,0,0,85,1,2,4,1,0,1,2,6,6,0,1,0,0,1,5,0,0
2020-04-23,6,0,364,0,2,1,0,3,0,10,0,0,3,3,0,0,0,0,3,0,0,0,4,0,2,0,0,2,0,0,4,3,0,4,0,0,4,1,0,3,0,2,0,8,0,0,0,0,66,0,2,0,6,0,0,4,6,0,0,1,0,0,2,1,0,0
2020-04-24,2,2,422,0,8,1,2,3,0,14,1,0,0,2,4,5,0,1,5,1,0,2,4,1,5,1,1,2,0,2,3,1,0,8,0,0,0,0,4,3,2,4,0,13,0,3,0,0,63,1,1,0,1,0,1,0,3,2,0,0,6,1,4,4,1,0
2020-04-25,2,0,316,0,0,3,1,5,2,5,0,1,3,2,1,1,0,0,1,0,0,0,3,0,0,0,0,4,0,1,0,3,0,6,0,0,1,1,0,2,0,3,0,4,1,0,0,0,51,0,0,1,5,0,0,2,3,1,0,0,0,0,1,2,1,0
2020-04-26,2,1,318,0,2,0,0,1,0,11,0,0,1,0,3,0,0,1,0,1,1,2,4,0,0,0,0,0,1,1,8,1,0,1,0,0,1,2,0,0,0,3,0,6,0,0,0,1,49,2,1,0,4,0,0,1,3,2,0,1,2,1,2,2,0,0
2020-04-27,3,0,332,2,0,0,0,0,0,7,0,0,4,0,0,0,0,0,2,0,1,0,0,4,0,1,3,0,0,0,1,1,2,4,0,0,0,0,1,1,0,2,2,5,0,0,0,0,59,0,0,0,2,3,0,3,0,0,0,1,0,0,0,1,0,2
2020-04-28,1,0,217,1,1,0,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,57,2,1,0,1,0,0,4,10,1,0,0,1,1,2,1,0,0
2020-04-29,6,0,253,1,0,1,1,0,0,7,0,0,2,0,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,2,1,0,3,0,7,1,0,0,0,59,0,0,1,1,0,0,2,4,1,0,1,1,3,2,0,0,0
2020-04-30,8,0,282,1,0,1,1,0,1,6,0,3,0,0,0,0,1,1,1,2,0,1,0,0,1,1,1,0,2,0,2,0,0,4,0,1,0,0,2,2,1,0,0,10,0,2,0,1,53,0,0,0,1,0,0,2,1,0,0,1,1,0,0,3,0,0
2020-05-01,0,1,275,0,0,0,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,5,1,0,0,5,1,0,1,0,0,2,0,0,0,3,0,0,0,0,39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2020-05-02,1,0,486,0,0,0,1,2,0,7,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,5,1,0,2,0,1,0,0,0,0,0,0,1,2,0,1,0,0,71,0,2,1,3,0,0,1,2,0,1,1,0,0,1,0,0,0
2020-05-03,1,0,322,0,0,2,0,2,0,4,1,0,0,1,1,0,0,0,3,1,2,0,0,0,0,3,0,2,0,2,0,0,0,3,0,0,2,0,0,1,0,1,2,3,0,0,0,0,56,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
2020-05-04,0,0,261,0,1,1,0,2,0,8,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,8,0,1,0,0,0,0,1,2,0,6,0,0,0,0,47,0,0,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0
2020-05-05,3,0,173,1,0,0,0,0,2,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,2,1,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,69,0,2,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0
2020-05-06,2,0,206,0,1,0,1,2,0,11,1,0,0,1,0,1,0,1,2,1,0,0,1,0,2,0,0,1,0,1,4,3,0,1,0,0,2,0,1,3,0,1,0,4,0,0,0,0,79,0,0,0,3,0,0,0,0,0,0,2,1,1,1,0,0,0
2020-05-07,4,0,216,0,1,1,0,0,0,5,1,1,2,0,2,0,0,0,0,2,2,1,0,0,0,2,0,5,0,0,2,3,0,10,0,1,0,0,1,0,0,0,0,6,0,0,0,0,57,0,0,1,0,0,0,3,1,0,0,0,0,0,1,2,0,0
2020-05-08,1,0,182,2,0,2,0,1,0,6,1,0,0,1,0,0,0,0,2,0,0,1,2,1,0,0,0,1,0,1,1,1,0,2,3,1,1,0,0,0,0,2,0,1,0,1,0,0,61,0,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0
