date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Tangail,Sylhet,Chuadanga,Bagerhat,Feni,Chapainawabganj,Munshiganj,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Jamalpur,Chandpur,Narail,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Satkhira,Dinajpur,Faridpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-23,1,0,2,2,0,0,3,1,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,7,1,0,1,0,1,0,3,0,0,6,0,0,1,0,0,0,5,0,0,235,0,40,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1
2020-04-24,0,2,0,4,1,0,3,0,2,0,1,0,0,3,1,3,7,2,0,1,0,0,0,0,0,3,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,7,0,0,232,1,21,0,1,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0
2020-04-25,3,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,3,0,0,141,0,31,0,0,0,3,1,0,0,0,0,2,0,2,0,0,1,0,0
2020-04-26,2,0,0,2,1,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,3,0,1,0,2,0,0,175,1,26,0,0,0,1,0,0,1,2,1,1,0,0,1,2,1,0,0
2020-04-27,0,0,2,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,145,0,35,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
2020-04-28,1,0,0,1,0,1,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,121,1,31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2020-04-29,3,0,0,1,1,0,0,0,3,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,3,0,0,120,0,38,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0
2020-04-30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,119,0,31,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2020-05-01,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,1,0,0,0,1,0,0,132,0,50,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2020-05-02,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,222,0,27,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,2,0,145,1,24,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
2020-05-04,1,0,0,1,2,0,2,0,2,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,107,1,35,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0
2020-05-05,2,0,0,1,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,1,0,0,0,0,1,0,0,0,3,0,0,114,0,39,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,0,0,0,1,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,118,0,37,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-05-07,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,1,0,1,0,0,0,2,0,0,114,0,46,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
2020-05-08,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,116,2,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-09,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,1,0,0,0,0,6,0,0,88,0,25,0,1,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0
2020-05-10,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,1,0,0,0,0,0,1,2,0,0,85,0,33,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-11,0,0,0,1,0,0,0,0,4,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,1,0,0,0,2,0,0,85,1,33,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2020-05-12,0,1,1,0,0,0,0,0,4,0,0,1,0,0,4,1,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,5,1,0,140,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-05-13,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,1,0,2,0,1,0,0,0,0,2,0,0,107,0,39,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,148,0,38,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2020-05-15,0,0,2,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,126,2,44,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-16,2,0,0,0,0,0,0,0,10,0,0,3,0,2,0,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,182,0,42,1,0,0,0,1,0,0,1,2,1,0,4,0,0,0,0,0
2020-05-17,1,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,11,0,0,170,0,66,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0
