date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Tangail,Maulvibazar,Chuadanga,Bagerhat,Feni,Sylhet,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Rajbari,Jaipurhat,Gazipur,Patuakhali,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-04-23,3,0,3,1,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,7,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,149,1,22,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-04-24,1,1,0,0,0,1,1,0,5,1,2,0,0,3,0,1,0,2,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,0,0,4,0,0,156,1,26,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
2020-04-25,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,0,115,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
2020-04-26,0,0,0,1,2,0,0,0,2,0,0,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,117,0,19,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1
2020-04-27,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,90,0,14,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0
2020-04-28,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,1,10,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0
2020-04-29,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,0,87,0,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,1,0,0,2,1,1,93,0,13,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,82,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,201,0,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
