date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Sylhet,Munshiganj,Feni,Tangail,Bagerhat,Chuadanga,Magura,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Patuakhali,Chandpur,Jamalpur,Narail,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-04-23,5,0,2,2,0,1,2,0,3,1,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,7,3,0,4,0,0,5,1,0,2,0,2,0,9,0,0,304,2,47,1,4,0,5,0,0,1,0,0,0,1,0,0,1,0,0,0
2020-04-24,2,1,0,0,0,1,0,0,9,0,0,1,3,2,0,3,2,1,4,1,1,0,0,3,1,3,3,2,1,3,0,0,5,0,0,0,1,0,1,0,0,0,13,0,1,379,1,48,1,4,0,1,0,0,2,2,1,0,2,5,1,4,0,3,0
2020-04-25,10,0,0,2,6,0,3,0,3,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,3,1,1,0,0,0,2,0,0,1,0,0,0,0,1,2,3,0,0,291,0,37,0,0,0,1,0,0,3,0,0,0,0,0,0,1,2,2,0
2020-04-26,4,1,0,3,0,1,0,0,7,0,0,0,0,1,0,1,1,0,4,1,0,0,0,1,0,0,1,1,0,2,1,0,3,0,6,0,0,0,1,0,0,0,4,1,0,260,3,37,0,0,0,1,0,0,0,2,4,0,1,3,1,3,2,1,1
2020-04-27,2,0,2,1,6,3,0,0,4,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,3,1,0,0,0,1,2,3,1,1,0,0,0,2,2,1,0,3,0,0,240,0,27,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1
2020-04-28,2,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,200,3,36,2,1,1,0,0,0,2,2,0,0,4,0,0,3,0,0,0
2020-04-29,2,0,2,0,1,1,0,0,6,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,1,1,2,0,0,0,4,0,0,171,0,31,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0
2020-04-30,4,0,0,0,0,1,0,0,3,1,0,1,1,0,1,1,0,1,2,0,0,1,1,0,0,1,0,1,0,1,0,0,6,0,0,0,0,1,0,0,0,0,5,0,1,213,0,30,1,0,1,3,0,0,1,2,0,0,0,0,0,2,2,0,0
2020-05-01,2,1,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,0,3,0,1,5,0,0,0,0,0,0,1,0,0,178,0,48,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0
2020-05-02,2,0,1,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,8,2,1,389,0,43,0,0,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0
2020-05-03,0,0,0,1,2,0,2,0,2,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,250,0,27,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2020-05-04,1,0,1,2,3,0,2,0,5,1,0,0,1,3,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,2,2,0,0,1,0,1,1,0,0,3,0,0,209,0,26,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0
