date,Comilla,Sunamganj,Unknown,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Maulvibazar,Munshiganj,Feni,Bagerhat,Sylhet,Tangail,Chapainawabganj,Chuadanga,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Jessore,Gaibandha,Lalmonirhat,Panchagarh
2020-05-02,1,0,720,0,0,1,2,2,0,9,2,0,0,0,4,0,1,3,3,0,2,2,0,0,0,0,1,2,0,0,3,2,0,2,1,0,0,0,1,1,1,2,0,5,0,1,0,0,96,4,0,1,2,0,0,1,2,0,0,1,1,2,0,0,1,1
2020-05-03,0,0,426,0,3,3,0,1,0,6,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,1,1,1,0,3,1,1,0,5,1,0,0,0,1,2,4,0,0,6,0,0,0,0,68,3,0,1,0,1,0,2,2,0,1,0,0,2,0,0,1,0
2020-05-04,1,0,348,1,3,4,1,1,0,21,1,0,0,1,3,0,1,1,2,0,3,1,0,2,0,2,0,0,1,0,0,1,0,4,2,0,1,0,0,1,3,0,0,3,1,0,0,0,57,1,1,1,2,0,0,3,1,0,1,0,0,1,2,0,0,1
2020-05-05,5,2,253,0,0,0,2,0,2,10,0,0,1,1,1,0,1,1,0,0,4,1,0,0,1,0,0,1,0,0,4,5,1,2,1,0,0,0,1,4,1,0,0,7,0,0,0,0,82,1,1,2,1,0,0,3,0,0,3,0,2,0,1,0,0,0
2020-05-06,5,0,287,1,1,0,0,2,0,18,0,1,3,1,2,0,2,1,0,2,3,1,0,2,0,0,0,1,0,1,1,4,0,7,0,0,0,0,0,3,3,0,0,8,0,0,0,0,78,1,1,0,1,0,0,1,1,0,3,0,1,0,0,1,0,0
2020-05-07,6,0,315,0,0,1,0,1,1,8,0,0,1,2,3,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,2,0,0,13,2,0,0,0,0,3,0,0,0,7,1,0,0,0,84,3,0,3,4,0,1,2,4,0,1,0,3,0,3,0,0,0
2020-05-08,0,1,272,3,2,4,0,3,0,12,0,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,1,2,0,0,3,2,0,2,0,1,2,0,0,1,0,0,0,2,1,0,0,2,78,1,0,2,0,0,0,3,1,0,2,0,1,1,2,0,0,0
2020-05-09,2,0,217,1,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,2,5,0,0,0,1,0,2,0,0,1,2,0,9,0,0,1,0,1,1,2,0,1,0,0,0,0,0,52,1,1,0,7,0,1,2,1,1,1,0,1,0,1,0,0,0
2020-05-10,2,0,187,0,1,0,1,3,0,5,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,2,0,10,0,2,1,0,1,0,3,0,0,6,0,0,0,1,52,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-05-11,0,0,190,0,1,1,0,0,0,10,0,0,1,0,0,0,0,1,0,0,3,1,0,1,0,0,0,1,0,0,1,1,0,11,0,0,0,0,0,2,2,0,0,10,0,1,0,3,61,1,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,1
2020-05-12,1,1,262,1,4,4,0,0,0,6,0,0,2,4,2,0,3,0,0,0,1,0,1,1,1,0,0,1,1,0,2,0,0,3,1,0,0,0,0,1,2,1,0,14,0,1,0,0,78,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0
2020-05-13,4,0,226,1,0,0,1,1,1,12,1,0,0,2,1,0,0,0,1,0,2,2,1,0,1,1,0,1,0,0,1,1,0,5,1,0,3,0,0,0,1,0,1,4,2,0,0,0,72,4,0,1,0,0,1,1,3,0,1,1,0,0,1,0,0,0
2020-05-14,3,0,234,2,1,3,0,0,0,6,1,0,1,0,0,0,0,1,1,0,8,4,0,0,1,1,1,1,0,0,5,1,0,6,5,0,2,0,1,4,1,0,0,9,0,0,0,1,74,1,0,4,1,0,0,2,3,0,5,0,1,0,1,0,0,0
2020-05-15,2,1,221,0,3,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,4,1,0,4,0,1,0,2,83,0,0,2,1,1,0,2,1,0,1,0,0,1,0,2,0,0
